2693968151981071411 [9, 1719, 3424, 5129, 6834, 8539]
-6942127113706673586 [722, 2427, 4132, 5837, 7542, 9247]
-6316832488998701605 [723, 2428, 4133, 5838, 7543, 9248]
-8819956467419147129 [724, 2429, 4134, 5839, 7544, 9249]
-6535820176318163757 [725, 2430, 4135, 5840, 7545, 9250]
-8215734206667436359 [726, 2431, 4136, 5841, 7546, 9251]
-7810142774332588248 [727, 2432, 4137, 5842, 7547, 9252]
7858026538608774290 [728, 2433, 4138, 5843, 7548, 9253]
-9122095524440507254 [729, 2434, 4139, 5844, 7549, 9254]
-2001295678040100913 [730, 2435, 4140, 5845, 7550, 9255]
-2327699681347924218 [731, 2436, 4141, 5846, 7551, 9256]
9010478748452975413 [732, 2437, 4142, 5847, 7552, 9257]
7180777564148855126 [733, 2438, 4143, 5848, 7553, 9258]
-135903074690944899 [734, 2439, 4144, 5849, 7554, 9259]
4805167930055461379 [735, 2440, 4145, 5850, 7555, 9260]
-2256817026882134271 [736, 2441, 4146, 5851, 7556, 9261]
-319052766726218202 [737, 2442, 4147, 5852, 7557, 9262]
8345495983183856266 [738, 2443, 4148, 5853, 7558, 9263]
5073940942985662840 [739, 2444, 4149, 5854, 7559, 9264]
-4139627299331760389 [740, 2445, 4150, 5855, 7560, 9265]
8760387543839579393 [741, 2446, 4151, 5856, 7561, 9266]
4397988199802684736 [742, 2447, 4152, 5857, 7562, 9267]
-3294262001687700725 [743, 2448, 4153, 5858, 7563, 9268]
3067661185366311557 [744, 2449, 4154, 5859, 7564, 9269]
3955852589488340555 [745, 2450, 4155, 5860, 7565, 9270]
2952327904467996090 [746, 2451, 4156, 5861, 7566, 9271]
-977314352018787738 [747, 2452, 4157, 5862, 7567, 9272]
7171763238860190623 [748, 2453, 4158, 5863, 7568, 9273]
1353812394345364324 [749, 2454, 4159, 5864, 7569, 9274]
5227483797646191654 [750, 2455, 4160, 5865, 7570, 9275]
1938102716209895684 [751, 2456, 4161, 5866, 7571, 9276]
1684235083811381614 [752, 2457, 4162, 5867, 7572, 9277]
-4841360377831699659 [753, 2458, 4163, 5868, 7573, 9278]
2413701597548918819 [754, 2459, 4164, 5869, 7574, 9279]
-1827155870540059204 [755, 2460, 4165, 5870, 7575, 9280]
8201010574076427071 [756, 2461, 4166, 5871, 7576, 9281]
4947632629736296301 [757, 2462, 4167, 5872, 7577, 9282]
1367034432976240832 [758, 2463, 4168, 5873, 7578, 9283]
1568770889708369964 [759, 2464, 4169, 5874, 7579, 9284]
8363957042882433821 [760, 2465, 4170, 5875, 7580, 9285]
6925658273660965362 [761, 2466, 4171, 5876, 7581, 9286]
9154680472134209806 [762, 2467, 4172, 5877, 7582, 9287]
-8291994069206506234 [763, 2468, 4173, 5878, 7583, 9288]
-3663900490066106278 [764, 2469, 4174, 5879, 7584, 9289]
-6123672720021448999 [765, 2470, 4175, 5880, 7585, 9290]
3182092858411586517 [766, 2471, 4176, 5881, 7586, 9291]
8336708107301487466 [767, 2472, 4177, 5882, 7587, 9292]
-4984296366782991894 [768, 2473, 4178, 5883, 7588, 9293]
-467763700799263187 [769, 2474, 4179, 5884, 7589, 9294]
-2243251309625323679 [770, 2475, 4180, 5885, 7590, 9295]
-109005726174807575 [771, 2476, 4181, 5886, 7591, 9296]
3550019776884144715 [772, 2477, 4182, 5887, 7592, 9297]
4401593618457317520 [773, 2478, 4183, 5888, 7593, 9298]
115673368548940177 [774, 2479, 4184, 5889, 7594, 9299]
3088190835899103805 [775, 2480, 4185, 5890, 7595, 9300]
4365028609549918938 [776, 2481, 4186, 5891, 7596, 9301]
8995372655690378584 [777, 2482, 4187, 5892, 7597, 9302]
5077194425826686183 [778, 2483, 4188, 5893, 7598, 9303]
-982473616947562150 [779, 2484, 4189, 5894, 7599, 9304]
-4860475087389231315 [780, 2485, 4190, 5895, 7600, 9305]
3089322767883196433 [781, 2486, 4191, 5896, 7601, 9306]
5561424316989913734 [782, 2487, 4192, 5897, 7602, 9307]
6816651505175384203 [783, 2488, 4193, 5898, 7603, 9308]
4898424821811638185 [784, 2489, 4194, 5899, 7604, 9309]
-2017876572452742906 [785, 2490, 4195, 5900, 7605, 9310]
4544536865966167899 [786, 2491, 4196, 5901, 7606, 9311]
4250838123605679797 [787, 2492, 4197, 5902, 7607, 9312]
-916623366440188310 [788, 2493, 4198, 5903, 7608, 9313]
-83111427684393269 [789, 2494, 4199, 5904, 7609, 9314]
1408458656469462328 [790, 2495, 4200, 5905, 7610, 9315]
-6035219951146074832 [791, 2496, 4201, 5906, 7611, 9316]
5044351474189094552 [792, 2497, 4202, 5907, 7612, 9317]
7188817533417960000 [793, 2498, 4203, 5908, 7613, 9318]
2061167978691479640 [794, 2499, 4204, 5909, 7614, 9319]
8390051618820170744 [795, 2500, 4205, 5910, 7615, 9320]
-5598402577967597526 [796, 2501, 4206, 5911, 7616, 9321]
1887652200585571097 [797, 2502, 4207, 5912, 7617, 9322]
-3309501444672835283 [798, 2503, 4208, 5913, 7618, 9323]
265547243886327030 [799, 2504, 4209, 5914, 7619, 9324]
8374787388086024321 [800, 2505, 4210, 5915, 7620, 9325]
-5953172440653162494 [801, 2506, 4211, 5916, 7621, 9326]
-3350894858272435982 [802, 2507, 4212, 5917, 7622, 9327]
8601863935188152123 [803, 2508, 4213, 5918, 7623, 9328]
-5672352002765509507 [804, 2509, 4214, 5919, 7624, 9329]
-8257670210289758589 [805, 2510, 4215, 5920, 7625, 9330]
-5854550302520933438 [806, 2511, 4216, 5921, 7626, 9331]
3597237495727740415 [807, 2512, 4217, 5922, 7627, 9332]
-5376376915096889444 [808, 2513, 4218, 5923, 7628, 9333]
8732067258917036706 [809, 2514, 4219, 5924, 7629, 9334]
1833961492146804306 [810, 2515, 4220, 5925, 7630, 9335]
1113477004848358214 [811, 2516, 4221, 5926, 7631, 9336]
1068040832271236272 [812, 2517, 4222, 5927, 7632, 9337]
-6313774543970959673 [813, 2518, 4223, 5928, 7633, 9338]
-5615899478178092865 [814, 2519, 4224, 5929, 7634, 9339]
-8253776896237944189 [815, 2520, 4225, 5930, 7635, 9340]
790670422523651360 [816, 2521, 4226, 5931, 7636, 9341]
-8180987282000965672 [817, 2522, 4227, 5932, 7637, 9342]
-8081935585060988528 [818, 2523, 4228, 5933, 7638, 9343]
-4071048166457935560 [819, 2524, 4229, 5934, 7639, 9344]
7224663227183976630 [820, 2525, 4230, 5935, 7640, 9345]
-9223292293307632776 [821, 2526, 4231, 5936, 7641, 9346]
178930759103698978 [822, 2527, 4232, 5937, 7642, 9347]
-554182408377814718 [823, 2528, 4233, 5938, 7643, 9348]
4472221225739528801 [824, 2529, 4234, 5939, 7644, 9349]
4587358603413791653 [825, 2530, 4235, 5940, 7645, 9350]
-4067620924650181023 [826, 2531, 4236, 5941, 7646, 9351]
4077838949909067833 [827, 2532, 4237, 5942, 7647, 9352]
2110795581455489785 [828, 2533, 4238, 5943, 7648, 9353]
-3407641676261392757 [829, 2534, 4239, 5944, 7649, 9354]
-6980327141578692944 [830, 2535, 4240, 5945, 7650, 9355]
5849163195238652105 [831, 2536, 4241, 5946, 7651, 9356]
-1176358571076082461 [832, 2537, 4242, 5947, 7652, 9357]
4151469577268264048 [833, 2538, 4243, 5948, 7653, 9358]
-3613005698286224920 [834, 2539, 4244, 5949, 7654, 9359]
-2207153826447983515 [835, 2540, 4245, 5950, 7655, 9360]
-3459014853079131941 [836, 2541, 4246, 5951, 7656, 9361]
-8106650546201038665 [837, 2542, 4247, 5952, 7657, 9362]
2247389358049336491 [838, 2543, 4248, 5953, 7658, 9363]
7731812470975150412 [839, 2544, 4249, 5954, 7659, 9364]
-5006431721843983803 [840, 2545, 4250, 5955, 7660, 9365]
4075629957803793508 [841, 2546, 4251, 5956, 7661, 9366]
-8776520950310857930 [842, 2547, 4252, 5957, 7662, 9367]
-1207472998846606566 [843, 2548, 4253, 5958, 7663, 9368]
3730977592234924635 [844, 2549, 4254, 5959, 7664, 9369]
-3935953765492958199 [845, 2550, 4255, 5960, 7665, 9370]
1036982503506104241 [846, 2551, 4256, 5961, 7666, 9371]
-9201106210609052074 [847, 2552, 4257, 5962, 7667, 9372]
181364517348409554 [848, 2553, 4258, 5963, 7668, 9373]
-6623498447768131582 [849, 2554, 4259, 5964, 7669, 9374]
4151364971784373221 [850, 2555, 4260, 5965, 7670, 9375]
3146590178426493460 [851, 2556, 4261, 5966, 7671, 9376]
5983676610242747933 [852, 2557, 4262, 5967, 7672, 9377]
709546063894260810 [853, 2558, 4263, 5968, 7673, 9378]
2320351653083692925 [854, 2559, 4264, 5969, 7674, 9379]
5106696046073134136 [855, 2560, 4265, 5970, 7675, 9380]
7477968842558588754 [856, 2561, 4266, 5971, 7676, 9381]
-5086035858377103942 [857, 2562, 4267, 5972, 7677, 9382]
2425880874550552893 [858, 2563, 4268, 5973, 7678, 9383]
3906794005648955679 [859, 2564, 4269, 5974, 7679, 9384]
-7129038828329390016 [860, 2565, 4270, 5975, 7680, 9385]
6497355978445862349 [861, 2566, 4271, 5976, 7681, 9386]
-3169709383994516092 [862, 2567, 4272, 5977, 7682, 9387]
1263533909717086700 [863, 2568, 4273, 5978, 7683, 9388]
-2995378268135043578 [864, 2569, 4274, 5979, 7684, 9389]
-4722646200318483508 [865, 2570, 4275, 5980, 7685, 9390]
1880494707101075673 [866, 2571, 4276, 5981, 7686, 9391]
-2432974706007396677 [867, 2572, 4277, 5982, 7687, 9392]
8493063230707027828 [868, 2573, 4278, 5983, 7688, 9393]
-2958557857235622313 [869, 2574, 4279, 5984, 7689, 9394]
-7062542306988098110 [870, 2575, 4280, 5985, 7690, 9395]
7192035561327502528 [871, 2576, 4281, 5986, 7691, 9396]
7661312132228002590 [872, 2577, 4282, 5987, 7692, 9397]
6749379132781180350 [873, 2578, 4283, 5988, 7693, 9398]
-6680592150918205475 [874, 2579, 4284, 5989, 7694, 9399]
1202275918290080002 [875, 2580, 4285, 5990, 7695, 9400]
-106074171145332690 [876, 2581, 4286, 5991, 7696, 9401]
-3723020456151727417 [877, 2582, 4287, 5992, 7697, 9402]
1993872074869824457 [878, 2583, 4288, 5993, 7698, 9403]
4659230184455338028 [879, 2584, 4289, 5994, 7699, 9404]
5153503403445469470 [880, 2585, 4290, 5995, 7700, 9405]
2948798952133622738 [881, 2586, 4291, 5996, 7701, 9406]
-8655558183869443099 [882, 2587, 4292, 5997, 7702, 9407]
2061582016775592052 [883, 2588, 4293, 5998, 7703, 9408]
-4222770508658338308 [884, 2589, 4294, 5999, 7704, 9409]
-5104026345541349331 [885, 2590, 4295, 6000, 7705, 9410]
4213634840826299588 [886, 2591, 4296, 6001, 7706, 9411]
-7672228632973333111 [887, 2592, 4297, 6002, 7707, 9412]
3755968672729244111 [888, 2593, 4298, 6003, 7708, 9413]
7585293823203065273 [889, 2594, 4299, 6004, 7709, 9414]
-356455869971709281 [890, 2595, 4300, 6005, 7710, 9415]
-6848142689385810712 [891, 2596, 4301, 6006, 7711, 9416]
-201409291296162146 [892, 2597, 4302, 6007, 7712, 9417]
-9085470564870015357 [893, 2598, 4303, 6008, 7713, 9418]
-6062079541661678025 [894, 2599, 4304, 6009, 7714, 9419]
-592034637219786358 [895, 2600, 4305, 6010, 7715, 9420]
-5583371803765750141 [896, 2601, 4306, 6011, 7716, 9421]
-2855809931386038260 [897, 2602, 4307, 6012, 7717, 9422]
3188572141899444024 [898, 2603, 4308, 6013, 7718, 9423]
503293763315617986 [899, 2604, 4309, 6014, 7719, 9424]
-8740935188155732789 [900, 2605, 4310, 6015, 7720, 9425]
1742617942566840884 [901, 2606, 4311, 6016, 7721, 9426]
-6179665579017564498 [902, 2607, 4312, 6017, 7722, 9427]
2807183409143337650 [903, 2608, 4313, 6018, 7723, 9428]
-5014946012892827595 [904, 2609, 4314, 6019, 7724, 9429]
-1511796309150960099 [905, 2610, 4315, 6020, 7725, 9430]
4354129527799717665 [906, 2611, 4316, 6021, 7726, 9431]
-5665607432631189468 [907, 2612, 4317, 6022, 7727, 9432]
-7551250522230135496 [908, 2613, 4318, 6023, 7728, 9433]
1282389923125749914 [909, 2614, 4319, 6024, 7729, 9434]
3258729492820438820 [910, 2615, 4320, 6025, 7730, 9435]
2539587630383585494 [911, 2616, 4321, 6026, 7731, 9436]
1877298950449797835 [912, 2617, 4322, 6027, 7732, 9437]
330897648266331532 [913, 2618, 4323, 6028, 7733, 9438]
-4497385532099911103 [914, 2619, 4324, 6029, 7734, 9439]
-4608107647737767859 [915, 2620, 4325, 6030, 7735, 9440]
-1320430906446058016 [916, 2621, 4326, 6031, 7736, 9441]
4190105958134554311 [917, 2622, 4327, 6032, 7737, 9442]
-5655290585890067564 [918, 2623, 4328, 6033, 7738, 9443]
-7410830198241052654 [919, 2624, 4329, 6034, 7739, 9444]
470469443814376181 [920, 2625, 4330, 6035, 7740, 9445]
1069347491049414313 [921, 2626, 4331, 6036, 7741, 9446]
8540530311940028924 [922, 2627, 4332, 6037, 7742, 9447]
7790205260984839939 [923, 2628, 4333, 6038, 7743, 9448]
7851317372526319818 [924, 2629, 4334, 6039, 7744, 9449]
-7959946753491769247 [925, 2630, 4335, 6040, 7745, 9450]
2602255129010289964 [926, 2631, 4336, 6041, 7746, 9451]
4733989509661793332 [927, 2632, 4337, 6042, 7747, 9452]
-5302234027202115273 [928, 2633, 4338, 6043, 7748, 9453]
-3801616567944581735 [929, 2634, 4339, 6044, 7749, 9454]
2192463639639153 [930, 2635, 4340, 6045, 7750, 9455]
8014399827335738885 [931, 2636, 4341, 6046, 7751, 9456]
-7500649385927719966 [932, 2637, 4342, 6047, 7752, 9457]
-8557806968972997214 [933, 2638, 4343, 6048, 7753, 9458]
2085996781494478858 [934, 2639, 4344, 6049, 7754, 9459]
-7538087242522532511 [935, 2640, 4345, 6050, 7755, 9460]
-8696270890329015036 [936, 2641, 4346, 6051, 7756, 9461]
-6057453678678156221 [937, 2642, 4347, 6052, 7757, 9462]
-3570874660708523664 [938, 2643, 4348, 6053, 7758, 9463]
3510885338364472327 [939, 2644, 4349, 6054, 7759, 9464]
-8283106995600770294 [940, 2645, 4350, 6055, 7760, 9465]
3774899102797080238 [941, 2646, 4351, 6056, 7761, 9466]
7893157459495866342 [942, 2647, 4352, 6057, 7762, 9467]
1740697412676302915 [943, 2648, 4353, 6058, 7763, 9468]
-7618717437973572822 [944, 2649, 4354, 6059, 7764, 9469]
4105483523617324980 [945, 2650, 4355, 6060, 7765, 9470]
4503291251876822273 [946, 2651, 4356, 6061, 7766, 9471]
-6964681226568791949 [947, 2652, 4357, 6062, 7767, 9472]
7107887231050154885 [948, 2653, 4358, 6063, 7768, 9473]
3696609626945926236 [949, 2654, 4359, 6064, 7769, 9474]
-5157291786244310665 [950, 2655, 4360, 6065, 7770, 9475]
5539958696727056102 [951, 2656, 4361, 6066, 7771, 9476]
-6920892680034387158 [952, 2657, 4362, 6067, 7772, 9477]
-4948355812079064856 [953, 2658, 4363, 6068, 7773, 9478]
-1458631686954466316 [954, 2659, 4364, 6069, 7774, 9479]
6639874820812962446 [955, 2660, 4365, 6070, 7775, 9480]
-1290909585012318927 [956, 2661, 4366, 6071, 7776, 9481]
-7290044448028312187 [957, 2662, 4367, 6072, 7777, 9482]
-3967185616756587104 [958, 2663, 4368, 6073, 7778, 9483]
5025911464605647974 [959, 2664, 4369, 6074, 7779, 9484]
-6791876316355393144 [960, 2665, 4370, 6075, 7780, 9485]
-6563008867072187407 [961, 2666, 4371, 6076, 7781, 9486]
-2603296555166096924 [962, 2667, 4372, 6077, 7782, 9487]
1896442248399886409 [963, 2668, 4373, 6078, 7783, 9488]
-700347416124021682 [964, 2669, 4374, 6079, 7784, 9489]
-1678121195489078952 [965, 2670, 4375, 6080, 7785, 9490]
-4687698482732168741 [966, 2671, 4376, 6081, 7786, 9491]
-6876409913339007013 [967, 2672, 4377, 6082, 7787, 9492]
294923198984843409 [968, 2673, 4378, 6083, 7788, 9493]
667558658032592113 [969, 2674, 4379, 6084, 7789, 9494]
2132131170512272896 [970, 2675, 4380, 6085, 7790, 9495]
1007910513408552954 [971, 2676, 4381, 6086, 7791, 9496]
-7596237383894229903 [972, 2677, 4382, 6087, 7792, 9497]
2157614623558901790 [973, 2678, 4383, 6088, 7793, 9498]
-6213779404415878536 [974, 2679, 4384, 6089, 7794, 9499]
7768520195063176145 [975, 2680, 4385, 6090, 7795, 9500]
2751717686759738535 [976, 2681, 4386, 6091, 7796, 9501]
3008662752280424782 [977, 2682, 4387, 6092, 7797, 9502]
-7263782338992364700 [978, 2683, 4388, 6093, 7798, 9503]
6568934593828199436 [979, 2684, 4389, 6094, 7799, 9504]
-6364482048186943740 [980, 2685, 4390, 6095, 7800, 9505]
-203810556325378710 [981, 2686, 4391, 6096, 7801, 9506]
-6182127221559299493 [982, 2687, 4392, 6097, 7802, 9507]
2313344458093822452 [983, 2688, 4393, 6098, 7803, 9508]
7225733337573610407 [984, 2689, 4394, 6099, 7804, 9509]
1395640216841352456 [985, 2690, 4395, 6100, 7805, 9510]
248918957871784654 [986, 2691, 4396, 6101, 7806, 9511]
-3551138465488615214 [987, 2692, 4397, 6102, 7807, 9512]
6610151778480898548 [988, 2693, 4398, 6103, 7808, 9513]
4185322813277839638 [989, 2694, 4399, 6104, 7809, 9514]
-5326579741710086871 [990, 2695, 4400, 6105, 7810, 9515]
3003046259926022206 [991, 2696, 4401, 6106, 7811, 9516]
-9133241534190701722 [992, 2697, 4402, 6107, 7812, 9517]
-8510547043900567564 [993, 2698, 4403, 6108, 7813, 9518]
-7362631554840724015 [994, 2699, 4404, 6109, 7814, 9519]
-3236086756665319019 [995, 2700, 4405, 6110, 7815, 9520]
6680814357424512852 [996, 2701, 4406, 6111, 7816, 9521]
1915248921372220923 [997, 2702, 4407, 6112, 7817, 9522]
-6945307691453464866 [998, 2703, 4408, 6113, 7818, 9523]
-8818064772865861286 [999, 2704, 4409, 6114, 7819, 9524]
8948738864133501821 [1000, 2705, 4410, 6115, 7820, 9525]
1431550252792683764 [1001, 2706, 4411, 6116, 7821, 9526]
-885736682376219238 [1002, 2707, 4412, 6117, 7822, 9527]
970143136631813257 [1003, 2708, 4413, 6118, 7823, 9528]
-5216937064054402698 [1004, 2709, 4414, 6119, 7824, 9529]
7655780389953725464 [1005, 2710, 4415, 6120, 7825, 9530]
815069242960178842 [1006, 2711, 4416, 6121, 7826, 9531]
8605242534074192245 [1007, 2712, 4417, 6122, 7827, 9532]
3826933275277041332 [1008, 2713, 4418, 6123, 7828, 9533]
7826642287513327728 [1009, 2714, 4419, 6124, 7829, 9534]
-3017479444138842029 [1010, 2715, 4420, 6125, 7830, 9535]
-6986306603955343026 [1011, 2716, 4421, 6126, 7831, 9536]
-6581063230130981799 [1012, 2717, 4422, 6127, 7832, 9537]
6913445972505545351 [1013, 2718, 4423, 6128, 7833, 9538]
1679106017625642326 [1014, 2719, 4424, 6129, 7834, 9539]
-5745322643784394682 [1015, 2720, 4425, 6130, 7835, 9540]
4777539525968524414 [1016, 2721, 4426, 6131, 7836, 9541]
-1603702266850304410 [1017, 2722, 4427, 6132, 7837, 9542]
-2971695305062303657 [1018, 2723, 4428, 6133, 7838, 9543]
5293889393837065136 [1019, 2724, 4429, 6134, 7839, 9544]
-985538110757724853 [1020, 2725, 4430, 6135, 7840, 9545]
683622593521285517 [1021, 2726, 4431, 6136, 7841, 9546]
-3571997884312904782 [1022, 2727, 4432, 6137, 7842, 9547]
231387425995211747 [1023, 2728, 4433, 6138, 7843, 9548]
4134702486246489580 [1024, 2729, 4434, 6139, 7844, 9549]
1740786154750987413 [1025, 2730, 4435, 6140, 7845, 9550]
-3830338091836668649 [1026, 2731, 4436, 6141, 7846, 9551]
-8014294421606302445 [1027, 2732, 4437, 6142, 7847, 9552]
6793827348597612450 [1028, 2733, 4438, 6143, 7848, 9553]
-8780938549346584545 [1029, 2734, 4439, 6144, 7849, 9554]
3831599686225836514 [1030, 2735, 4440, 6145, 7850, 9555]
8455287015221055161 [1031, 2736, 4441, 6146, 7851, 9556]
-8674283764984890771 [1032, 2737, 4442, 6147, 7852, 9557]
-702200104123051566 [1033, 2738, 4443, 6148, 7853, 9558]
-5989132974997262926 [1034, 2739, 4444, 6149, 7854, 9559]
-6522779305049415205 [1035, 2740, 4445, 6150, 7855, 9560]
6785950994680851576 [1036, 2741, 4446, 6151, 7856, 9561]
-4229818813118825976 [1037, 2742, 4447, 6152, 7857, 9562]
2162064868641022444 [1038, 2743, 4448, 6153, 7858, 9563]
-5846031829878265366 [1039, 2744, 4449, 6154, 7859, 9564]
-697095888640613199 [1040, 2745, 4450, 6155, 7860, 9565]
5283790778159797950 [1041, 2746, 4451, 6156, 7861, 9566]
-7328659514156095972 [1042, 2747, 4452, 6157, 7862, 9567]
-7760396881780778483 [1043, 2748, 4453, 6158, 7863, 9568]
8477820181659652729 [1044, 2749, 4454, 6159, 7864, 9569]
-2348569120807261274 [1045, 2750, 4455, 6160, 7865, 9570]
4774172612069942931 [1046, 2751, 4456, 6161, 7866, 9571]
-1001476550852336758 [1047, 2752, 4457, 6162, 7867, 9572]
-5408294440457806703 [1048, 2753, 4458, 6163, 7868, 9573]
-8339774471470919823 [1049, 2754, 4459, 6164, 7869, 9574]
989626947068002137 [1050, 2755, 4460, 6165, 7870, 9575]
-7268381732943656545 [1051, 2756, 4461, 6166, 7871, 9576]
-1185769494096791738 [1052, 2757, 4462, 6167, 7872, 9577]
187673483680806932 [1053, 2758, 4463, 6168, 7873, 9578]
2808056354116877235 [1054, 2759, 4464, 6169, 7874, 9579]
-1318359485654499492 [1055, 2760, 4465, 6170, 7875, 9580]
5485241896464503635 [1056, 2761, 4466, 6171, 7876, 9581]
3538309097538324185 [1057, 2762, 4467, 6172, 7877, 9582]
2334348215694290058 [1058, 2763, 4468, 6173, 7878, 9583]
-3248942708703973268 [1059, 2764, 4469, 6174, 7879, 9584]
-6353350942556350881 [1060, 2765, 4470, 6175, 7880, 9585]
8498423658487888426 [1061, 2766, 4471, 6176, 7881, 9586]
692228690268897403 [1062, 2767, 4472, 6177, 7882, 9587]
-407824190275339993 [1063, 2768, 4473, 6178, 7883, 9588]
-6611161900399350757 [1064, 2769, 4474, 6179, 7884, 9589]
-272815364014599450 [1065, 2770, 4475, 6180, 7885, 9590]
9005535973637327864 [1066, 2771, 4476, 6181, 7886, 9591]
-3695713764622897808 [1067, 2772, 4477, 6182, 7887, 9592]
7550853345168600480 [1068, 2773, 4478, 6183, 7888, 9593]
-7315035594303291768 [1069, 2774, 4479, 6184, 7889, 9594]
-6699114669632472513 [1070, 2775, 4480, 6185, 7890, 9595]
-6612467744935596393 [1071, 2776, 4481, 6186, 7891, 9596]
-3959996268209655781 [1072, 2777, 4482, 6187, 7892, 9597]
2620057725670206183 [1073, 2778, 4483, 6188, 7893, 9598]
-2568015320826249596 [1074, 2779, 4484, 6189, 7894, 9599]
-4662028998188071136 [1075, 2780, 4485, 6190, 7895, 9600]
5608248336850643535 [1076, 2781, 4486, 6191, 7896, 9601]
-2377602714485755777 [1077, 2782, 4487, 6192, 7897, 9602]
3780098857198895223 [1078, 2783, 4488, 6193, 7898, 9603]
-4761467560191055907 [1079, 2784, 4489, 6194, 7899, 9604]
-3123957644241111144 [1080, 2785, 4490, 6195, 7900, 9605]
8423191396605691901 [1081, 2786, 4491, 6196, 7901, 9606]
-7581782420221260746 [1082, 2787, 4492, 6197, 7902, 9607]
-5823125725492853852 [1083, 2788, 4493, 6198, 7903, 9608]
-3469160410206233931 [1084, 2789, 4494, 6199, 7904, 9609]
1557593670269864408 [1085, 2790, 4495, 6200, 7905, 9610]
-3420396646916122145 [1086, 2791, 4496, 6201, 7906, 9611]
-2735443623911276484 [1087, 2792, 4497, 6202, 7907, 9612]
-5938074639549184863 [1088, 2793, 4498, 6203, 7908, 9613]
-8408675652319284038 [1089, 2794, 4499, 6204, 7909, 9614]
4442093028599483402 [1090, 2795, 4500, 6205, 7910, 9615]
1821966667877509464 [1091, 2796, 4501, 6206, 7911, 9616]
-6627569525240109342 [1092, 2797, 4502, 6207, 7912, 9617]
6238176079543475865 [1093, 2798, 4503, 6208, 7913, 9618]
-1832788335553393573 [1094, 2799, 4504, 6209, 7914, 9619]
-7141620178287219874 [1095, 2800, 4505, 6210, 7915, 9620]
-3703156904627869506 [1096, 2801, 4506, 6211, 7916, 9621]
5494756163963015277 [1097, 2802, 4507, 6212, 7917, 9622]
3924015693245375213 [1098, 2803, 4508, 6213, 7918, 9623]
-3178204520957003250 [1099, 2804, 4509, 6214, 7919, 9624]
-4232972422046647482 [1100, 2805, 4510, 6215, 7920, 9625]
3105266592145238985 [1101, 2806, 4511, 6216, 7921, 9626]
6599215652254737411 [1102, 2807, 4512, 6217, 7922, 9627]
-4095742943251410436 [1103, 2808, 4513, 6218, 7923, 9628]
6559685830285340899 [1104, 2809, 4514, 6219, 7924, 9629]
-1146225839459158597 [1105, 2810, 4515, 6220, 7925, 9630]
-4175668496402622338 [1106, 2811, 4516, 6221, 7926, 9631]
1806625636862770047 [1107, 2812, 4517, 6222, 7927, 9632]
-8914226556480334667 [1108, 2813, 4518, 6223, 7928, 9633]
-6251629598086791900 [1109, 2814, 4519, 6224, 7929, 9634]
-6679212104413984403 [1110, 2815, 4520, 6225, 7930, 9635]
8532794756546283078 [1111, 2816, 4521, 6226, 7931, 9636]
-5567859659635090133 [1112, 2817, 4522, 6227, 7932, 9637]
-406933467874072448 [1113, 2818, 4523, 6228, 7933, 9638]
7397410735636112682 [1114, 2819, 4524, 6229, 7934, 9639]
6158202489767092120 [1115, 2820, 4525, 6230, 7935, 9640]
2640425679603333246 [1116, 2821, 4526, 6231, 7936, 9641]
-2821209249047268605 [1117, 2822, 4527, 6232, 7937, 9642]
-5502853025461268069 [1118, 2823, 4528, 6233, 7938, 9643]
-2526588540135470402 [1119, 2824, 4529, 6234, 7939, 9644]
-6669367571578472596 [1120, 2825, 4530, 6235, 7940, 9645]
-8213658617097008076 [1121, 2826, 4531, 6236, 7941, 9646]
-254609852377198669 [1122, 2827, 4532, 6237, 7942, 9647]
7800317628941001034 [1123, 2828, 4533, 6238, 7943, 9648]
5746532435984618698 [1124, 2829, 4534, 6239, 7944, 9649]
3143435257077812964 [1125, 2830, 4535, 6240, 7945, 9650]
7207953691596558754 [1126, 2831, 4536, 6241, 7946, 9651]
-8257952656708507648 [1127, 2832, 4537, 6242, 7947, 9652]
-9098514465568628685 [1128, 2833, 4538, 6243, 7948, 9653]
-9135282270237508587 [1129, 2834, 4539, 6244, 7949, 9654]
2807044420385314064 [1130, 2835, 4540, 6245, 7950, 9655]
-3073484119701441045 [1131, 2836, 4541, 6246, 7951, 9656]
4102382835760000301 [1132, 2837, 4542, 6247, 7952, 9657]
-5462212327187289321 [1133, 2838, 4543, 6248, 7953, 9658]
5124881427759743572 [1134, 2839, 4544, 6249, 7954, 9659]
3529606848294251401 [1135, 2840, 4545, 6250, 7955, 9660]
1660576967497600826 [1136, 2841, 4546, 6251, 7956, 9661]
-1935789875166607001 [1137, 2842, 4547, 6252, 7957, 9662]
-8733141952374482033 [1138, 2843, 4548, 6253, 7958, 9663]
638913643905365892 [1139, 2844, 4549, 6254, 7959, 9664]
-1581202033422848756 [1140, 2845, 4550, 6255, 7960, 9665]
2348115770843899937 [1141, 2846, 4551, 6256, 7961, 9666]
-1945847246407141776 [1142, 2847, 4552, 6257, 7962, 9667]
-4666154038481646040 [1143, 2848, 4553, 6258, 7963, 9668]
-5414781062152437120 [1144, 2849, 4554, 6259, 7964, 9669]
6910953293542398867 [1145, 2850, 4555, 6260, 7965, 9670]
5544308961576372808 [1146, 2851, 4556, 6261, 7966, 9671]
1042560061147236299 [1147, 2852, 4557, 6262, 7967, 9672]
